question,answer
"What are common farming tools?","Hoe, shovel, plough, sickle, rake, tractor, cultivator, sprayer."
"What is a seed drill used for?","A seed drill is used to plant seeds evenly and at proper depth."
"What is a plough?","A plough is used to turn and loosen soil for planting."
"What is a cultivator?","A cultivator is used for soil preparation and removing weeds."
"What is a rotavator?","A rotavator crushes soil clods and prepares a fine seedbed."
"What is a drip irrigation kit?","A kit containing dripper pipes, filters, valves, and connectors for controlled watering."
"What is a power tiller?","A machine used for land preparation, tilling, and soil mixing."
"What is the use of a knapsack sprayer?","Used to spray pesticides, fertilizers, and water on crops."
"What is mulching sheet used for?","Mulching sheet controls weeds and retains soil moisture."
"What is a greenhouse?","A structure that provides controlled environment for plant growth."
"What are major cereal crops?","Rice, wheat, maize, barley, and millet."
"What are major fruit crops?","Mango, banana, apple, orange, papaya."
"What are major vegetable crops?","Tomato, potato, cabbage, cauliflower, brinjal."
"When should I plant wheat?","Wheat is best planted in November–December."
"When should I plant rice?","Rice is planted during June–July (monsoon)."
"When should I plant maize?","Maize is planted in February–March or June–July."
"When should I plant potatoes?","Potatoes are planted during October–November."
"When should I plant onions?","Onions are planted from October to December."
"When should I plant tomatoes?","Tomatoes are planted during August–October or January–March."
"What season is best for bananas?","Bananas can be planted year-round but prefer warm months."
"What season is best for mango?","Mango flowering occurs in February–March; fruits harvested in May–June."
"What weather is suitable for wheat?","Cool, dry weather with temperatures between 20–25°C."
"What weather is suitable for rice?","Hot and humid weather with 25–35°C temperature."
"What weather is suitable for maize?","Warm climate with 18–27°C temperature."
"What is the rainfall requirement for rice?","Rice needs 1200–1500 mm rainfall."
"What is the rainfall requirement for wheat?","Wheat requires 400–500 mm rainfall."
"What is the rainfall requirement for maize?","Maize requires 500–800 mm rainfall."
"What is the best soil for rice?","Clayey soil with water retention."
"What is the best soil for wheat?","Loamy soil with good drainage."
"What is the best soil for sugarcane?","Deep well-drained loamy soil."
"What is the best soil for vegetables?","Sandy loam with good drainage."
"What is the best soil for fruits?","Depends on fruit type but generally loam soil."
"What crop gives highest profit?","Tomato, chili, mushroom, garlic, and leafy vegetables have high profit."
"What fruit gives highest profit?","Strawberry, dragon fruit, mango, banana, watermelon."
"What vegetable sells best in market?","Tomato, onion, potato, cabbage, chili."
"What crop has highest demand in market?","Rice, wheat, potatoes, onions, tomatoes."
"What fruit has highest demand?","Bananas, apples, oranges, mangoes."
"What is precision seeding?","Planting seeds accurately using machines for maximum yield."
"What is zero tillage?","Planting seeds without ploughing to save time and soil health."
"What are hybrid seeds?","Seeds bred for high yield, disease resistance, and uniformity."
"What are organic seeds?","Seeds grown without chemical inputs."
"What is the yield of wheat per hectare?","3–4 tons per hectare depending on variety."
"What is the yield of rice per hectare?","4–6 tons per hectare depending on variety and irrigation."
"What is the yield of maize per hectare?","4–5 tons per hectare for hybrid varieties."
"What is the yield of tomatoes per hectare?","30–60 tons per hectare with good management."
"What is the yield of potatoes per hectare?","20–30 tons per hectare."
"What time of day is best for irrigation?","Early morning or late evening."
"What is flood irrigation?","Irrigating the field by flooding with water."
"What is sprinkler irrigation?","Spraying water through sprinklers like artificial rain."
"What crop is best for dry areas?","Millet, sorghum, chickpea, mustard."
"What crop is best for humid areas?","Rice, sugarcane, bananas."
"What crop grows fast?","Radish, spinach, lettuce, coriander."
"What fertilizer is best for fruit trees?","NPK 10-26-26 and organic manure annually."
"What fertilizer is best for leafy vegetables?","Nitrogen-rich fertilizers like urea."
"What fertilizer increases flowering?","Phosphorus-rich fertilizers."
"What increases fruit size?","Potash, balanced irrigation, and micronutrients."
"What increases crop yield?","Good seeds, irrigation, fertilizers, pest control, weed management."
"What is soil pH?","A measure of soil acidity or alkalinity."
"What soil pH is ideal for crops?","Most crops prefer 6.0–7.5 pH."
"What is climate-smart agriculture?","Farming that adapts to climate change using technology."
"What is smart irrigation?","AI and sensor-based water control method."
"What is IoT in farming?","Using sensors, mobile apps, and automation for farming decisions."
"What is a soil moisture sensor?","A device that measures water content in soil."
"What is a pH meter?","An instrument that measures soil acidity."
"What is a weather station?","A device that records temperature, humidity, rainfall, and wind."
"What is fertigation?","Applying fertilizers through irrigation system."
"What is hydroponics?","Growing plants without soil using nutrient solution."
"What is aquaponics?","Growing plants and fish together in one system."
"What is vertical farming?","Growing crops in vertical stacked layers."
"What is greenhouse farming?","Growing crops in controlled temperature and humidity."
"What is polyhouse farming?","A type of greenhouse covered with polyethylene."
"What is crop rotation?","Growing different crops in sequence to improve soil health."
"What is intercropping?","Growing two or more crops together."
"What is mixed farming?","Raising crops and livestock together."
"What is organic farming?","Farming without chemical fertilizers or pesticides."
"What is sustainable farming?","Farming practices that protect environment and maintain productivity."
"What crop is best for summer?","Cucumber, bitter gourd, watermelon."
"What crop is best for winter?","Wheat, mustard, peas, cauliflower."
"What fruit is best in summer?","Watermelon, mango, litchi."
"What fruit is best in winter?","Apples, oranges, strawberries."
"What crop needs most water?","Rice and sugarcane."
"What crop needs least water?","Millet, chickpea, lentils."
"What are micronutrients?","Iron, zinc, boron, copper, manganese."
"What is weed management?","Controlling weeds to prevent crop competition."
"What is the use of pesticides?","To control insects and protect crops."
"What is the use of herbicides?","To kill or control unwanted weeds."
"What is the use of fungicides?","To prevent fungal diseases."
"What is seed germination?","Process where seed develops into plant."
"What improves seed germination?","Moisture, temperature, good seed quality."
"What is transplanting?","Moving young seedlings to main field."
"What is thinning?","Removing excess plants to maintain spacing."
"What is plant spacing?","Distance maintained between plants for proper growth."
"What is harvesting?","Collecting mature crops from field."
"When to harvest wheat?","Wheat is harvested when grains turn golden and hard."
"When to harvest rice?","Rice is harvested when 80–85% grains are mature."
"When to harvest tomatoes?","Harvest when fruits turn red and firm."
"When to harvest potatoes?","Potatoes are harvested 90–120 days after planting."
"What is post-harvest loss?","Loss of crops during storage, transport, or handling."
"What increases shelf life of fruits?","Cold storage, ventilation, low humidity."
"What is market price of tomatoes?","Tomato price changes daily depending on supply and demand."
"What is market price of potatoes?","Potato price depends on season and region."
"What affects market demand?","Weather, supply, season, festival, transportation."
"What crop has stable market demand?","Rice, wheat, potato, onions."
"What fruit has stable demand?","Bananas and apples."
"What is contract farming?","Farmer grows crop for a company with guaranteed price."
"What is agroforestry?","Growing trees and crops together."
"What is soil erosion?","Loss of topsoil due to wind and water."
"What prevents soil erosion?","Terracing, mulching, planting cover crops."
"What are cover crops?","Plants grown to protect soil like clover or grasses."
"How can farmers save water?","Use drip irrigation, mulching, rainwater harvesting."
"What is rainwater harvesting?","Collecting and storing rainwater for farming."
"What is crop forecasting?","Predicting crop yields using weather and soil data."
"What is AI in farming?","Using artificial intelligence for crop prediction, irrigation, and pest detection."
"What is drone mapping?","Creating field maps using drones for smart farming."
"What is soil mapping?","Analyzing soil nutrients and fertility distribution."
"What is high-density planting?","Planting more plants per area to increase yield."
"What is greenhouse temperature?","Ideally 20–30°C for most crops."
"What is organic manure?","Natural fertilizer like compost, cow dung, and bio-slurry."
"What is vermicompost?","Compost made using earthworms."
"What nutrients do plants need?","Nitrogen, phosphorus, potassium, micronutrients."
